gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
ABCA10,1.72816510245795,7.0027038172766e-10,3.9422348811515e-09,10,10,1.0,1.777808235075135,0.163758027893088,2.09072827378092,0.1764874034890025,0.8,0.8,GSE194122_BMMC,True,
ABCB10,0.670611289442108,5.79781963586152e-07,2.1496467824855e-06,10,10,1.0,0.699531402871246,0.0425667559283207,0.924432969062197,0.234866796787088,0.9,0.9,MMRF_ImmuneAtlas,True,
ABCB4,0.955332593732321,0.0304920963181114,0.0480808524217528,10,9,1.0,0.9808891390424,0.702296311652006,1.20257287909335,0.12799721527823105,0.7777777777777778,0.6666666666666666,MMRF_ImmuneAtlas,True,
ABCB9,0.904943970039091,2.73352583595705e-06,9.01320062165976e-06,10,10,1.0,0.9198185036739756,0.281070863748089,1.04101222368132,0.16209295119600609,0.9,0.9,MMRF_ImmuneAtlas,True,
ABCC3,2.16469068121564,5.9892757621749e-05,0.0001577670265195,10,9,1.0,2.24898483593843,0.983897811405524,2.4079731715057,0.08803898521641029,0.8888888888888888,0.8888888888888888,MMRF_ImmuneAtlas,True,
ABCC4,1.07703138662403,3.7818076712604e-16,5.120665815657271e-15,10,10,1.0,1.1252473389090252,0.568286588520618,1.29623886844555,0.04526536993977759,1.0,0.9,GSE194122_BMMC,True,
ABHD15-AS1,4.70938853396583,6.20410927950709e-13,5.35463935001167e-12,10,10,1.0,4.723085492218194,2.43382798178616,4.9771588687591,0.2755584406473446,1.0,1.0,GSE194122_BMMC,True,
ABHD5,0.341390985400303,0.0011160009619268,0.0023620434488529,10,10,1.0,0.33775632644048803,0.187051427748779,0.431426016480934,0.05875339810786123,0.8,0.8,NBM_66k,True,
ABLIM2,1.32248276240843,2.5098834002594604e-09,1.31630001665519e-08,10,10,1.0,1.3493224773549,0.836410030396046,1.58684459985366,0.1617208348582151,1.0,1.0,GSE194122_BMMC,True,
ABTB1,0.507212419048899,1.1282112093477799e-12,9.395151812028719e-12,10,10,1.0,0.50285316756498,0.0753159312897278,0.606778194174667,0.05182886184769897,0.9,0.9,MMRF_ImmuneAtlas,True,
ABTB2,1.36180038708487,1.29410122906432e-05,3.76669442049823e-05,10,10,1.0,1.398591367647745,0.0995713214896213,1.76580383558589,0.06937384829982984,0.9,0.8,MMRF_ImmuneAtlas,True,
AC001226.2,3.69776194403531,0.0102516459082612,0.0180363922105183,10,9,1.0,3.74456320887376,2.30684980757402,3.89540681436859,0.18815318678712023,0.7777777777777778,0.7777777777777778,MMRF_ImmuneAtlas,True,
AC002091.2,-1.12162322466772,6.4122574027624e-06,1.96629987297649e-05,10,9,1.0,-1.14087657176256,-1.92214731146314,-0.697385568216518,0.26303117324026015,1.0,1.0,DISCO_ref,True,
AC002306.1,-1.24670832172185,6.51189495227878e-05,0.0001700726873057,10,9,1.0,-1.24687324079156,-2.05496649834784,-0.931226092788998,0.18286089870989009,1.0,1.0,DISCO_ref,True,
AC002463.1,4.72172520446354,2.47449601794707e-06,8.18499222180082e-06,10,9,1.0,4.83287802623602,3.74283847285253,5.35970764175799,0.19649276369286994,1.0,0.8888888888888888,MMRF_ImmuneAtlas,True,
AC002553.1,-1.42244448875228,8.93284586304823e-10,4.95392824298622e-09,10,9,1.0,-1.41892045324865,-2.60327864723469,-1.00589287569457,0.29025269484903005,1.0,1.0,DISCO_ref,True,
AC004148.1,-3.59496149047198,4.0195003097311703e-32,3.0814198697983196e-30,10,9,1.0,-3.62709687980267,-3.76987606098104,-3.31094399800361,0.06494913567444982,1.0,1.0,NBM_66k,True,
