sample	group	dataset	n_cells
BIOREP_6d5b4ff94b6539c1	NDMM	MMRF_ImmuneAtlas	131
BIOREP_60ef34d53771087c	NDMM	MMRF_ImmuneAtlas	140
BIOREP_4c88df1ea791395b	NDMM	MMRF_ImmuneAtlas	126
BIOREP_e1d538ffea95b361	NDMM	MMRF_ImmuneAtlas	369
BIOREP_ffc7999cea54aff8	NDMM	MMRF_ImmuneAtlas	418
BIOREP_6a67199581afc2c7	NDMM	MMRF_ImmuneAtlas	137
BIOREP_412286a444c63053	NDMM	MMRF_ImmuneAtlas	144
BIOREP_7c30dfea5e5561b9	NDMM	MMRF_ImmuneAtlas	257
BIOREP_4c552fd514567e74	NDMM	MMRF_ImmuneAtlas	406
BIOREP_c0dc1ef99fa2b79f	NDMM	MMRF_ImmuneAtlas	269
BIOREP_84c6f1b56a432604	NDMM	MMRF_ImmuneAtlas	249
BIOREP_5ef1ef2b21907188	NDMM	MMRF_ImmuneAtlas	200
BIOREP_eda7bce55c1bcf12	NDMM	MMRF_ImmuneAtlas	107
BIOREP_0382e4b55742a3bb	NDMM	MMRF_ImmuneAtlas	461
BIOREP_fce1950af0e354ea	NDMM	MMRF_ImmuneAtlas	458
BIOREP_0725e5526e54c6c3	NDMM	MMRF_ImmuneAtlas	1895
BIOREP_fd97151d3b84c336	NDMM	MMRF_ImmuneAtlas	417
BIOREP_f3dc181667061d8e	NDMM	MMRF_ImmuneAtlas	104
BIOREP_f4eedfd80eb111a5	NDMM	MMRF_ImmuneAtlas	214
BIOREP_0db22143f3d4c9e0	NDMM	MMRF_ImmuneAtlas	347
BIOREP_981a7677463ef9b2	NDMM	MMRF_ImmuneAtlas	152
BIOREP_1ddb60f2c60abcee	NDMM	MMRF_ImmuneAtlas	911
BIOREP_8b643d89efd2e517	NDMM	MMRF_ImmuneAtlas	242
BIOREP_b907996a63609ae0	NDMM	MMRF_ImmuneAtlas	243
BIOREP_b29882674c17bd4a	NDMM	MMRF_ImmuneAtlas	117
BIOREP_739a8c7c0cca0404	NDMM	MMRF_ImmuneAtlas	205
BIOREP_90e8cdabc74b2aba	NDMM	MMRF_ImmuneAtlas	852
