gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
A2M,0.861250843431346,0.0003467349069836,0.0007959176882895,10,10,0.9,0.9976424763690106,-1.05618130610383,3.67286277064174,0.24383819992158873,1.0,1.0,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
A2M-AS1,-1.05002644502474,4.78298148177454e-12,3.60313330411715e-11,10,10,0.9,-1.048955961543615,-1.29876010601778,0.680777380366475,0.1717014037577319,0.9,0.9,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
A4GALT,0.482962536367304,0.504407221621025,0.56572178276902,10,9,0.8888888888888888,0.474713276017699,-0.141687688967115,0.577305847061537,0.06783868898280898,0.0,0.0,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;omitted_dataset_direction_reversal
AATK,-0.118960886823216,0.699804904059549,0.747095370098101,10,10,0.8,-0.07956305723383775,-0.652502739005497,1.14035289513616,0.16101132175705493,0.0,0.0,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
ABALON,0.177742908700374,0.442276877741115,0.504836733887549,10,10,0.8,0.17848662753224448,-0.589312120852792,0.586392604957964,0.21286120424871507,0.1,0.1,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
ABCA1,1.68834220542228,2.37696542940952e-05,6.66547648386866e-05,10,10,0.8,1.71413926544902,-0.773865715373042,2.89395492896919,0.22616174872818018,0.8,0.8,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
ABCA10,1.72816510245795,7.0027038172766e-10,3.9422348811515e-09,10,10,1.0,1.777808235075135,0.163758027893088,2.09072827378092,0.1764874034890025,0.8,0.8,GSE194122_BMMC,True,
ABCA2,-0.0063339234625364,0.940252601604622,0.952124477887508,10,10,0.6,-0.0112038641237041,-0.397808196974375,0.0638683431401216,0.09119287145345083,0.1,0.1,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;direction_unstable;median_effect_below_threshold;omitted_dataset_direction_reversal
ABCA7,0.202028379106453,0.0261287727570088,0.0420074804296178,10,10,1.0,0.207783144126982,0.134456178824284,0.242891969609006,0.025680293846647745,0.6,0.6,GSE194122_BMMC,False,median_effect_below_threshold
ABCB1,0.0488022828546176,0.703830872183115,0.750046779407873,10,10,0.8,0.05727599882432835,-0.696961492015156,0.185819370292249,0.03772593546384365,0.1,0.1,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
ABCB10,0.670611289442108,5.79781963586152e-07,2.1496467824855e-06,10,10,1.0,0.699531402871246,0.0425667559283207,0.924432969062197,0.234866796787088,0.9,0.9,MMRF_ImmuneAtlas,True,
ABCB4,0.955332593732321,0.0304920963181114,0.0480808524217528,10,9,1.0,0.9808891390424,0.702296311652006,1.20257287909335,0.12799721527823105,0.7777777777777778,0.6666666666666666,MMRF_ImmuneAtlas,True,
ABCB9,0.904943970039091,2.73352583595705e-06,9.01320062165976e-06,10,10,1.0,0.9198185036739756,0.281070863748089,1.04101222368132,0.16209295119600609,0.9,0.9,MMRF_ImmuneAtlas,True,
ABCC3,2.16469068121564,5.9892757621749e-05,0.0001577670265195,10,9,1.0,2.24898483593843,0.983897811405524,2.4079731715057,0.08803898521641029,0.8888888888888888,0.8888888888888888,MMRF_ImmuneAtlas,True,
ABCC4,1.07703138662403,3.7818076712604e-16,5.120665815657271e-15,10,10,1.0,1.1252473389090252,0.568286588520618,1.29623886844555,0.04526536993977759,1.0,0.9,GSE194122_BMMC,True,
