program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	number_of_estimable_resources	estimable_resources	number_of_significant_supporting_resources	supporting_resources	resource_activity_scores	resource_directions	minimum_adjusted_p_value	median_consensus_activity_score	mean_consensus_activity_score	minimum_absolute_supporting_score	strongest_absolute_activity_score	consensus_direction	directional_consensus_status	consensus_threshold_used	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	SPI1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	2	CollecTRI;DoRothEA	"{""CollecTRI"":4.043699945178479,""DoRothEA"":3.4683568177426296}"	"{""CollecTRI"":""increased"",""DoRothEA"":""increased""}"	0.0061877513123876453	3.7560283814605544	3.7560283814605544	3.4683568177426296	4.0436999451784787	increased	True	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	SP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":5.210466145909244,""DoRothEA"":2.74998653553861}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	6.9925565346789259e-05	5.2104661459092441	5.2104661459092441	5.2104661459092441	5.2104661459092441	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	JUN	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":4.57153912771958,""DoRothEA"":0.22381336835659008}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.00087003768918495145	4.5715391277195803	4.5715391277195803	4.5715391277195803	4.5715391277195803	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPB	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":3.9318725046443133,""DoRothEA"":0.9789890813455652}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.0074112521381494304	3.9318725046443133	3.9318725046443133	3.9318725046443133	3.9318725046443133	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	NFKB	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	1	CollecTRI	"{""CollecTRI"":3.767251003788803}"	"{""CollecTRI"":""increased""}"	0.011562266110133623	3.767251003788803	3.767251003788803	3.767251003788803	3.767251003788803	unresolved	False	2	False	True	single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	RUNX1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	1	CollecTRI	"{""CollecTRI"":3.391091926701235}"	"{""CollecTRI"":""increased""}"	0.040324751268719219	3.3910919267012352	3.3910919267012352	3.3910919267012352	3.3910919267012352	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	SP3	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":3.1940130280896244,""DoRothEA"":0.6397839153762126}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.069442256457628276	3.1940130280896244	3.1940130280896244	3.1940130280896244	3.1940130280896244	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	AP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	1	CollecTRI	"{""CollecTRI"":3.0601005989945316}"	"{""CollecTRI"":""increased""}"	0.079800470792351516	3.0601005989945316	3.0601005989945316	3.0601005989945316	3.0601005989945316	unresolved	False	2	False	True	single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ELF1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":2.9919851602494534,""DoRothEA"":0.06880054026436803}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.079800470792351516	2.9919851602494534	2.9919851602494534	2.9919851602494534	2.9919851602494534	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ETS2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":3.0025981857584396,""DoRothEA"":2.461870742765378}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.079800470792351516	3.0025981857584396	3.0025981857584396	3.0025981857584396	3.0025981857584396	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
