program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	source_capability_id	source_cache_key	database	organism	tf	number_of_eligible_genes	total_regulon_target_count	number_of_overlapping_targets	number_of_unique_signed_target_weights	target_weight_variance	model_predictor_weight_variance	degrees_of_freedom	estimable	estimability_status	exclusion_reason	overlapping_target_genes	resource_hash
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	ABL1	2395	10	3	1	0	0.0012515631458604758	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	CDKN1A;FOXO3;JUN	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	ADNP	2395	1	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	ADNP2	2395	1	1	1	0	0.00041753653444676406	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	HBB	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AEBP1	2395	5	2	1	0	0.00083472424973358907	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	CD36;TNF	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AEBP2	2395	1	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AHR	2395	193	32	2	0.54435483870967738	0.013282335972150278	2393	True	estimable		ABCC3;ABCC4;APP;AREG;BRCA1;CA3;CAT;CCND1;CD19;CD36;CD40;CDH1;CDKN1A;CDKN2B;CTSG;CYP1B1;EREG;FGF9;FOXP3;HSPB1;IL10;JUN;LTBP1;MYC;PAX5;PCNA;PDLIM7;PTGS2;TF;TFDP2;TNF;TNFSF13B	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AHRR	2395	5	1	1	0	0.00041753653444676406	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	MYC	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AIP	2395	6	1	1	0	0.00041753653444676412	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	GREB1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AIRE	2395	23	6	1	0	0.0024999869192815025	2393	True	estimable		CD28;IL2RA;NFKBIA;RAC1;TG;TLR8	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AKNA	2395	2	1	1	0	0.00041753653444676412	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	CD40	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
