program_id	feature_set_id	feature_id	feature_type	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	signed_statistic	signed_statistic_name	statistic_orientation	source_capability_id	source_capability_version	source_cache_key	source_artifact_path	source_artifact_hash	upstream_analysis_method	upstream_analysis_parameters	upstream_provenance
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCA10	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	1.7281651024579501	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCB10	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	0.67061128944210802	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCB4	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	0.95533259373232104	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCB9	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	0.90494397003909099	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCC3	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	2.1646906812156401	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABCC4	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	1.07703138662403	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABHD15-AS1	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	4.7093885339658303	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABHD5	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	0.34139098540030299	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABLIM2	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	1.3224827624084301	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	ABTB1	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	0.50721241904889902	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
